timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:37:30.289111,17052,-1968,-8692,-1419,-664,1005
2025-06-19T09:37:30.595529,15924,-1816,-9408,84,319,-788
2025-06-19T09:37:30.903192,15664,-1840,-8940,-108,-780,-102
2025-06-19T09:37:31.208691,15644,-1424,-8984,-199,127,-321
2025-06-19T09:37:31.516698,15672,-1400,-8912,-762,-56,148
2025-06-19T09:37:31.833266,15352,-1464,-9048,-392,-669,377
2025-06-19T09:37:32.066001,14840,-1772,-9436,-1885,-1087,2130
2025-06-19T09:37:32.309328,13696,-2452,-9208,-760,376,-129
2025-06-19T09:37:32.552058,14648,-2504,-9360,-483,-410,-301
2025-06-19T09:37:32.950764,15512,-2352,-9452,10,1227,-649
2025-06-19T09:37:33.654341,15564,-3072,-8740,-270,-27,-212
2025-06-19T09:37:33.974153,15200,-2712,-9148,-414,-39,-258
2025-06-19T09:37:34.330338,15036,-2584,-9432,-226,-1020,-192
2025-06-19T09:37:34.610755,15384,-2396,-9196,-466,-674,-400
2025-06-19T09:37:34.929464,15204,-2308,-9540,-415,468,-609
2025-06-19T09:37:35.343556,15368,-2168,-9920,422,-614,-391
2025-06-19T09:37:35.649536,15216,-2404,-9184,-545,43,-27
2025-06-19T09:37:36.021964,15400,-2560,-9548,-61,-737,-436
2025-06-19T09:37:36.374880,15064,-2716,-9548,-779,-1019,897
2025-06-19T09:37:36.737921,15516,-2532,-9720,-379,-270,552
2025-06-19T09:37:37.050404,14832,-2136,-10608,443,1637,-1268
2025-06-19T09:37:37.347811,15020,-2556,-10632,-850,-731,1309
2025-06-19T09:37:37.654998,14208,-3120,-10052,-146,-756,-988
2025-06-19T09:37:37.967739,14964,-2932,-10808,-578,1126,96
2025-06-19T09:37:38.280541,15012,-1892,-9824,-318,277,-408
2025-06-19T09:37:38.588780,15320,-2468,-10056,-181,-987,-498
2025-06-19T09:37:38.994352,15060,-2412,-9896,-433,-466,-84
2025-06-19T09:37:39.223274,15032,-2392,-10016,-336,9,-264
2025-06-19T09:37:39.505410,15060,-2376,-9856,-556,660,-283
2025-06-19T09:37:39.814277,15304,-2124,-9604,-865,1669,-232
2025-06-19T09:37:40.124279,15916,-2012,-8676,-120,-574,-261
2025-06-19T09:37:40.425807,15656,-2132,-8760,-175,-1517,-223
2025-06-19T09:37:40.737326,13368,-1128,-9996,-240,-905,-1326
2025-06-19T09:37:41.039870,15208,-1792,-10108,-840,-1114,650
2025-06-19T09:37:41.406527,15584,-1840,-9968,12,-1191,-138
2025-06-19T09:37:41.653456,15516,-2256,-9976,218,-84,-478
2025-06-19T09:37:41.968705,15588,-3432,-10064,-1103,-5587,-3334
2025-06-19T09:37:42.270694,15800,-384,-13280,-2025,-9005,-1016
2025-06-19T09:37:42.576246,11844,-588,-13528,1396,-6448,-1771
2025-06-19T09:37:42.886314,12692,-1852,-15672,177,1274,-362
2025-06-19T09:37:43.196459,13448,-3296,-10840,3620,7142,-1613
2025-06-19T09:37:43.498636,22728,1756,-12860,-7154,7014,9051
