0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,label
2352,-17624,-348,5892,-16492,-1120,2300,-17648,-4716,128,-16692,-5956,1528,-15036,-5264,1684,-17244,-2040,196,-16832,-3460,64,-16660,-3340,1940,-17528,-2196,3008,-15936,-3920,2260,-16168,-3432,1308,-17188,-3468,3016,-14872,-1500,2096,-17296,-1984,2076,-16352,-3992,1580,-13960,-900,2636,-14816,-3212,-1536,-19064,-1988,-1424,-19056,-2744,1536,-17064,-4512,3848,-16824,-2292,6096,-16888,-2272,5744,-15888,-672,2428,-15420,-1448,688,-16268,-1620,normal
1684,-17244,-2040,196,-16832,-3460,64,-16660,-3340,1940,-17528,-2196,3008,-15936,-3920,2260,-16168,-3432,1308,-17188,-3468,3016,-14872,-1500,2096,-17296,-1984,2076,-16352,-3992,1580,-13960,-900,2636,-14816,-3212,-1536,-19064,-1988,-1424,-19056,-2744,1536,-17064,-4512,3848,-16824,-2292,6096,-16888,-2272,5744,-15888,-672,2428,-15420,-1448,688,-16268,-1620,2376,-16916,-2056,6380,-15708,-2500,2372,-16216,-2232,-2240,-13772,-5472,-3692,-16152,-2856,normal
2260,-16168,-3432,1308,-17188,-3468,3016,-14872,-1500,2096,-17296,-1984,2076,-16352,-3992,1580,-13960,-900,2636,-14816,-3212,-1536,-19064,-1988,-1424,-19056,-2744,1536,-17064,-4512,3848,-16824,-2292,6096,-16888,-2272,5744,-15888,-672,2428,-15420,-1448,688,-16268,-1620,2376,-16916,-2056,6380,-15708,-2500,2372,-16216,-2232,-2240,-13772,-5472,-3692,-16152,-2856,16,-16160,-128,3780,-17824,-3604,4332,-16256,-3136,3044,-16892,-2528,300,-16224,-2796,normal
1580,-13960,-900,2636,-14816,-3212,-1536,-19064,-1988,-1424,-19056,-2744,1536,-17064,-4512,3848,-16824,-2292,6096,-16888,-2272,5744,-15888,-672,2428,-15420,-1448,688,-16268,-1620,2376,-16916,-2056,6380,-15708,-2500,2372,-16216,-2232,-2240,-13772,-5472,-3692,-16152,-2856,16,-16160,-128,3780,-17824,-3604,4332,-16256,-3136,3044,-16892,-2528,300,-16224,-2796,-724,-17372,-3660,856,-16020,-1632,1000,-17620,-3352,2464,-16684,-724,7388,-14792,-2988,normal
3848,-16824,-2292,6096,-16888,-2272,5744,-15888,-672,2428,-15420,-1448,688,-16268,-1620,2376,-16916,-2056,6380,-15708,-2500,2372,-16216,-2232,-2240,-13772,-5472,-3692,-16152,-2856,16,-16160,-128,3780,-17824,-3604,4332,-16256,-3136,3044,-16892,-2528,300,-16224,-2796,-724,-17372,-3660,856,-16020,-1632,1000,-17620,-3352,2464,-16684,-724,7388,-14792,-2988,7220,-15052,-1556,2328,-15568,-2384,-1176,-17560,-3208,572,-15936,-3708,4088,-17224,-3996,normal
2376,-16916,-2056,6380,-15708,-2500,2372,-16216,-2232,-2240,-13772,-5472,-3692,-16152,-2856,16,-16160,-128,3780,-17824,-3604,4332,-16256,-3136,3044,-16892,-2528,300,-16224,-2796,-724,-17372,-3660,856,-16020,-1632,1000,-17620,-3352,2464,-16684,-724,7388,-14792,-2988,7220,-15052,-1556,2328,-15568,-2384,-1176,-17560,-3208,572,-15936,-3708,4088,-17224,-3996,3584,-16836,-3448,1124,-16696,-3160,624,-16764,-3272,824,-16672,-3168,644,-16988,-4460,normal
16,-16160,-128,3780,-17824,-3604,4332,-16256,-3136,3044,-16892,-2528,300,-16224,-2796,-724,-17372,-3660,856,-16020,-1632,1000,-17620,-3352,2464,-16684,-724,7388,-14792,-2988,7220,-15052,-1556,2328,-15568,-2384,-1176,-17560,-3208,572,-15936,-3708,4088,-17224,-3996,3584,-16836,-3448,1124,-16696,-3160,624,-16764,-3272,824,-16672,-3168,644,-16988,-4460,1232,-16672,-4312,900,-16392,-3920,740,-16584,-4312,780,-16792,-4116,44,-16508,-3480,normal
-724,-17372,-3660,856,-16020,-1632,1000,-17620,-3352,2464,-16684,-724,7388,-14792,-2988,7220,-15052,-1556,2328,-15568,-2384,-1176,-17560,-3208,572,-15936,-3708,4088,-17224,-3996,3584,-16836,-3448,1124,-16696,-3160,624,-16764,-3272,824,-16672,-3168,644,-16988,-4460,1232,-16672,-4312,900,-16392,-3920,740,-16584,-4312,780,-16792,-4116,44,-16508,-3480,712,-16612,-3976,492,-16624,-4012,1188,-17304,-4628,3224,-16096,-2564,2984,-17084,-4044,normal
7220,-15052,-1556,2328,-15568,-2384,-1176,-17560,-3208,572,-15936,-3708,4088,-17224,-3996,3584,-16836,-3448,1124,-16696,-3160,624,-16764,-3272,824,-16672,-3168,644,-16988,-4460,1232,-16672,-4312,900,-16392,-3920,740,-16584,-4312,780,-16792,-4116,44,-16508,-3480,712,-16612,-3976,492,-16624,-4012,1188,-17304,-4628,3224,-16096,-2564,2984,-17084,-4044,2800,-16056,-1176,3528,-15504,-2192,2360,-16748,-2132,2524,-16896,-3372,2380,-16700,-2300,normal
3584,-16836,-3448,1124,-16696,-3160,624,-16764,-3272,824,-16672,-3168,644,-16988,-4460,1232,-16672,-4312,900,-16392,-3920,740,-16584,-4312,780,-16792,-4116,44,-16508,-3480,712,-16612,-3976,492,-16624,-4012,1188,-17304,-4628,3224,-16096,-2564,2984,-17084,-4044,2800,-16056,-1176,3528,-15504,-2192,2360,-16748,-2132,2524,-16896,-3372,2380,-16700,-2300,1704,-16120,-3728,4392,-17144,-4056,1564,-15832,-4644,1208,-17128,-3480,1808,-17216,-2464,normal
