timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:32:49.340486,4252,-15628,-5100,-173,-1253,24
2025-06-19T09:32:49.607420,3848,-16624,-3484,728,-3277,239
2025-06-19T09:32:49.911858,2444,-16324,-4308,-1537,-1057,1159
2025-06-19T09:32:50.222908,1668,-16028,-4664,-1191,8118,-33
2025-06-19T09:32:50.527686,2956,-16376,-4864,-502,-1145,601
2025-06-19T09:32:50.830860,4048,-16064,-6420,-844,-984,-30
2025-06-19T09:32:51.143178,3788,-17636,-7432,-1514,-2116,1722
2025-06-19T09:32:51.449380,-8,-17448,-5824,-1256,-9031,1649
2025-06-19T09:32:51.753870,-1028,-15676,-4908,512,-4955,-2585
2025-06-19T09:32:51.979722,5448,-16504,-2312,4752,-948,-1299
2025-06-19T09:32:52.207087,2508,-15752,-1696,529,-6273,-2513
2025-06-19T09:32:52.474794,4608,-16928,-860,703,-2392,1374
2025-06-19T09:32:52.834510,4660,-16100,-2632,2840,-4802,2082
2025-06-19T09:32:53.090596,1932,-16556,-1316,-4441,-3475,-739
2025-06-19T09:32:53.394152,1864,-17300,-1748,-4307,3428,-792
2025-06-19T09:32:53.703323,-268,-16564,-3932,922,-7022,-493
2025-06-19T09:32:54.029177,2100,-16664,-3800,612,-18853,-1488
2025-06-19T09:32:54.317887,4292,-14388,-1724,1560,-3334,-1469
2025-06-19T09:32:54.619000,3604,-17024,-2844,492,-6005,-1255
2025-06-19T09:32:54.927690,2876,-16580,-1780,1166,-4763,1968
2025-06-19T09:32:55.341307,1472,-17196,-2088,-4391,-3808,839
2025-06-19T09:32:55.644566,1144,-16148,-3672,570,-8027,-873
2025-06-19T09:32:55.961311,5136,-16740,-2296,1636,-10151,783
2025-06-19T09:32:56.259748,2808,-14956,-180,-2102,-1004,1014
2025-06-19T09:32:56.568005,524,-15940,-2052,-460,-1794,-504
2025-06-19T09:32:56.885720,756,-16900,-2516,970,1838,1233
2025-06-19T09:32:57.183680,1160,-17048,-3540,557,-4383,-65
2025-06-19T09:32:57.488228,260,-19512,-2496,627,-3149,782
2025-06-19T09:32:57.796344,-3040,-16104,-800,-893,3991,-1248
2025-06-19T09:32:58.102553,592,-17524,-2568,976,5227,-1842
2025-06-19T09:32:58.410580,2788,-13504,-1908,-154,-573,-2913
